Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Nom communes équipées
44003;Gabriel Péri - Danielle Casanova;OUI;20;0;17;10;7;OUI;OUI;2023-11-05T20:39:28+01:00;Vitry-sur-Seine
21701;Larmeroux - Baudelaire;OUI;29;28;0;0;0;OUI;OUI;2023-11-05T20:43:00+01:00;Vanves
15034;Lakanal - Commerce;OUI;53;12;41;36;5;OUI;OUI;2023-11-05T20:42:21+01:00;Paris
24001;Arche - Léonard de Vinci;OUI;28;26;2;2;0;OUI;OUI;2023-11-05T20:43:48+01:00;Courbevoie
41404;Carnot - Pâquerettes;OUI;26;8;17;13;4;OUI;OUI;2023-11-05T20:40:46+01:00;Alfortville
22016;Charles de Gaulle - Sablonville;OUI;26;14;12;8;4;OUI;OUI;2023-11-05T20:41:01+01:00;Neuilly-sur-Seine
22203;Tertres - Fontaine;OUI;28;26;1;0;1;OUI;OUI;2023-11-05T20:43:18+01:00;Bagneux
32302;Chemin Vert - Fraternité;OUI;20;15;4;0;4;OUI;OUI;2023-11-05T20:35:17+01:00;Romainville
31708;Noisy le Sec - Jean-Baptiste Clément;OUI;22;18;2;0;2;OUI;OUI;2023-11-05T20:42:37+01:00;Bagnolet
11035;Parmentier - Abel Rabaud;OUI;52;40;12;7;5;OUI;OUI;2023-11-05T20:40:09+01:00;Paris
5106;Cujas - Saint-Michel;OUI;19;18;1;1;0;OUI;OUI;2023-11-05T20:43:41+01:00;Paris
46001;Place Paul Eluard;OUI;19;1;14;7;7;OUI;OUI;2023-11-05T20:34:54+01:00;Choisy-le-Roi
25003;Henri Ste-Claire Déville - Paul Héroult;OUI;24;21;3;1;2;OUI;OUI;2023-11-05T20:38:37+01:00;Rueil-Malmaison
16040;Exelmans - Michel-Ange;OUI;33;19;12;6;6;OUI;OUI;2023-11-05T20:43:35+01:00;Paris
20115;Louis Lumière - Porte de Bagnolet;OUI;20;18;2;0;2;OUI;OUI;2023-11-05T20:37:16+01:00;Paris
19029;Seine - Flandre;OUI;19;12;7;3;4;OUI;OUI;2023-11-05T20:43:31+01:00;Paris
22402;Jean Jaurès - Salvador Allende;OUI;43;33;10;3;7;OUI;OUI;2023-11-05T20:41:42+01:00;Malakoff
9032;Mathurins - Auber;OUI;36;32;2;2;0;OUI;OUI;2023-11-05T20:37:17+01:00;Paris
21008;Victor Hugo - Galliéni;OUI;34;16;17;11;6;OUI;OUI;2023-11-05T20:40:58+01:00;Boulogne-Billancourt
19016;Hautpoul - Jean Jaurès;OUI;32;23;9;4;5;OUI;OUI;2023-11-05T20:42:28+01:00;Paris
11039;Richard Lenoir - Jean-Pierre Timbaud;OUI;36;14;21;17;4;OUI;OUI;2023-11-05T20:40:33+01:00;Paris
21104;Madame de Sanzillon - Mozart;OUI;22;1;18;11;7;OUI;OUI;2023-11-05T20:40:55+01:00;Clichy
17013;Legendre - Dulong;OUI;23;19;4;1;3;OUI;OUI;2023-11-05T20:43:48+01:00;Paris
9005;Square d'Anvers;OUI;33;25;8;3;5;OUI;OUI;2023-11-05T20:42:31+01:00;Paris
16008;Galilée - Kléber;OUI;32;28;3;1;2;OUI;OUI;2023-11-05T20:34:28+01:00;Paris
7102;Mairie du 7ème;OUI;27;20;7;4;3;OUI;OUI;2023-11-05T20:42:00+01:00;Paris
13050;Quai Panhard et Levassor;OUI;57;18;37;35;2;OUI;OUI;2023-11-05T20:40:07+01:00;Paris
15013;Volontaire - Lecourbe;OUI;31;14;15;9;6;OUI;OUI;2023-11-05T20:43:50+01:00;Paris
11026;Chemin Vert - Saint-Maur;OUI;45;25;17;11;6;OUI;OUI;2023-11-05T20:41:51+01:00;Paris
26013;Quai du docteur Dervaux;OUI;26;4;22;22;0;OUI;OUI;2023-11-05T20:43:10+01:00;Asnières-sur-Seine
41601;Général De Gaulle - Alouette;OUI;26;3;22;11;11;OUI;OUI;2023-11-05T20:41:04+01:00;Saint-Mandé
20121;Boyer - Ménilmontant;OUI;19;0;0;0;0;NON;NON;2018-05-21T07:59:45+02:00;Paris
5012;Estrapade - Ulm;OUI;16;10;6;0;6;OUI;OUI;2023-11-05T20:43:01+01:00;Paris
42015;Place Jean Ferrat;OUI;25;18;7;2;5;OUI;OUI;2023-11-05T20:38:30+01:00;Ivry-sur-Seine
15103;Cauchy - Cévennes;OUI;51;22;29;27;2;OUI;OUI;2023-11-05T20:43:46+01:00;Paris
32016;Place de la Porte de Paris;OUI;40;33;5;3;2;OUI;OUI;2023-11-05T20:43:52+01:00;Saint-Denis
18009;Jean-François Lépine - Stephenson;OUI;22;13;6;2;4;OUI;OUI;2023-11-05T20:41:21+01:00;Paris
19008;Flandre - Alphonse Karr;OUI;26;20;6;1;5;OUI;OUI;2023-11-05T20:40:45+01:00;Paris
22003;Beffroy;OUI;26;16;10;5;5;OUI;OUI;2023-11-05T20:36:47+01:00;Neuilly-sur-Seine
41402;Victor Hugo - Ecoles;OUI;25;6;16;6;10;OUI;OUI;2023-11-05T20:42:19+01:00;Alfortville
11105;Parmentier - République;OUI;50;35;13;8;5;OUI;OUI;2023-11-05T20:43:11+01:00;Paris
43003;Hôpital Bégin;OUI;26;14;9;6;3;OUI;OUI;2023-11-05T20:43:31+01:00;Vincennes
16108;Sablons - Georges Mandel;OUI;38;34;2;0;2;OUI;OUI;2023-11-05T20:40:24+01:00;Paris
7005;Raspail - Bac;OUI;52;46;6;3;3;OUI;OUI;2023-11-05T20:43:13+01:00;Paris
43005;Gare RER de Vincennes;OUI;51;48;1;1;0;OUI;OUI;2023-11-05T20:43:52+01:00;Vincennes
11036;Jules Ferry - Faubourg du Temple Paris;OUI;58;9;44;38;6;OUI;OUI;2023-11-05T20:43:46+01:00;Paris
11024;Mairie du 11ème;OUI;51;2;46;41;5;OUI;OUI;2023-11-05T20:40:16+01:00;Paris
19125;Place de l'Édit de Nantes;OUI;30;24;6;2;4;OUI;OUI;2023-11-05T20:40:49+01:00;Paris
20134;Lieutenant Chauré - Etienne Marey;OUI;20;15;5;0;5;OUI;OUI;2023-11-05T20:36:50+01:00;Paris
23009;Anatole France - Louise Michel;OUI;50;37;12;7;5;OUI;OUI;2023-11-05T20:40:30+01:00;Levallois-Perret
8057;Hoche - Tilsitt;OUI;33;33;0;0;0;OUI;OUI;2023-11-05T20:36:28+01:00;Paris
12027;Montgallet - Charenton;OUI;16;1;14;13;1;OUI;OUI;2023-11-05T20:43:46+01:00;Paris
9010;Rochechouart lamartine;OUI;24;24;0;0;0;NON;NON;2023-11-05T20:38:26+01:00;Paris
32303;Gaston Roussel - Commune de Paris;OUI;30;20;10;4;6;OUI;OUI;2023-11-05T20:43:53+01:00;Romainville
14136;Auguste Cain - Jean Moulin;OUI;40;35;5;2;3;OUI;OUI;2023-11-05T20:39:46+01:00;Paris
42029;Stalingrad - Germaine Tailleferre;OUI;28;7;20;13;7;OUI;OUI;2023-11-05T20:42:44+01:00;Ivry-sur-Seine
8025;Miromesnil - La Boétie;OUI;35;26;8;6;2;OUI;OUI;2023-11-05T20:41:18+01:00;Paris
12115;Porte de Vincennes;OUI;33;25;7;4;3;OUI;OUI;2023-11-05T20:40:35+01:00;Paris
10014;Marseille - Beaurepaire;OUI;55;23;30;25;5;OUI;OUI;2023-11-05T20:42:53+01:00;Paris
8035;Bienfaisance - Place de Narvik;OUI;36;33;3;1;2;OUI;OUI;2023-11-05T20:34:20+01:00;Paris
13002;Arago - Glacière;OUI;27;19;8;4;4;OUI;OUI;2023-11-05T20:43:34+01:00;Paris
17102;Alfred Roll - Berthier;OUI;28;20;8;5;3;OUI;OUI;2023-11-05T20:42:48+01:00;Paris
42010;Mairie d'Ivry-sur-Seine;OUI;53;31;22;18;4;OUI;OUI;2023-11-05T20:43:07+01:00;Ivry-sur-Seine
28001;Richard Wallace - Place du 8 Mai 1945;OUI;30;21;9;6;3;OUI;OUI;2023-11-05T20:42:19+01:00;Puteaux
15046;Parc Georges Brassens - Brancion;OUI;29;25;3;2;1;OUI;OUI;2023-11-05T20:39:00+01:00;Paris
6013;Jacques Callot - Mazarine;OUI;28;6;22;20;2;OUI;OUI;2023-11-05T20:42:40+01:00;Paris
22006;Pierret - Madrid;OUI;28;22;6;5;1;OUI;OUI;2023-11-05T20:43:26+01:00;Neuilly-sur-Seine
7015;Varenne;OUI;47;39;7;4;3;OUI;OUI;2023-11-05T20:43:56+01:00;Paris
17028;Reims - Raymond Pitet;OUI;37;35;2;2;0;OUI;OUI;2023-11-05T20:38:55+01:00;Paris
35018;Ancien Canal - Hélène Brion;OUI;23;17;6;4;2;OUI;OUI;2023-11-05T20:42:42+01:00;Pantin
21301;Saint-Vincent - Verdun;OUI;34;14;20;17;3;OUI;OUI;2023-11-05T20:40:44+01:00;Issy-les-Moulineaux
11009;Boulets - Voltaire;OUI;24;19;5;3;2;OUI;OUI;2023-11-05T20:38:45+01:00;Paris
42302;Aristide Briand - Gare de Bagneux;OUI;22;14;7;0;7;OUI;OUI;2023-11-05T20:42:10+01:00;Cachan
41606;Pasteur - Gambetta;OUI;19;13;5;5;0;OUI;OUI;2023-11-05T20:40:21+01:00;Saint-Mandé
32003;Wilson - Métallurgie;OUI;28;12;14;10;4;OUI;OUI;2023-11-05T20:42:59+01:00;Saint-Denis
43402;Place de Verdun;OUI;40;25;13;7;6;OUI;OUI;2023-11-05T20:41:12+01:00;Joinville-le-Pont
11042;Grand Prieuré - Crussol;OUI;49;20;28;21;7;OUI;OUI;2023-11-05T20:40:30+01:00;Paris
12013;Montgallet - Reuilly;OUI;16;9;6;2;4;OUI;OUI;2023-11-05T20:43:28+01:00;Paris
19013;Laumière - Petit;OUI;34;23;6;3;3;OUI;OUI;2023-11-05T20:43:11+01:00;Paris
11115;Montreuil - Gonnet;OUI;24;16;8;6;2;OUI;OUI;2023-11-05T20:43:46+01:00;Paris
5123;Saint-Germain - Thenard;OUI;31;17;13;11;2;OUI;OUI;2023-11-05T20:43:31+01:00;Paris
14021;Place de la Porte de Châtillon;OUI;59;53;5;2;3;OUI;OUI;2023-11-05T20:42:46+01:00;Paris
1002;Victoria - Place du Chatelet;OUI;22;3;17;14;3;OUI;OUI;2023-11-05T20:42:21+01:00;Paris
5021;Jussieu - Fossés Saint-Bernard;OUI;39;3;35;34;1;OUI;OUI;2023-11-05T20:43:29+01:00;Paris
42301;Gare Arcueil - Cachan;OUI;26;15;11;3;8;OUI;OUI;2023-11-05T20:35:22+01:00;Arcueil
8033;Commandant Rivière;OUI;27;22;4;3;1;OUI;OUI;2023-11-05T20:43:26+01:00;Paris
8013;Marignan - Champs-Elysées;OUI;35;32;1;0;1;OUI;OUI;2023-11-05T20:42:37+01:00;Paris
15010;Square Cambronne;OUI;59;32;27;21;6;OUI;OUI;2023-11-05T20:42:06+01:00;Paris
42504;Gare RER de Gentilly;OUI;30;28;2;0;2;OUI;OUI;2023-11-05T20:40:37+01:00;Gentilly
41102;Gare de Laplace;OUI;43;32;11;4;7;OUI;OUI;2023-11-05T20:37:08+01:00;Arcueil
20111;Villiers de l'Isle Adam - Pyrénées;OUI;20;15;4;2;2;OUI;OUI;2023-11-05T20:42:39+01:00;Paris
17037;Bayen - Pereire;OUI;22;16;6;2;4;OUI;OUI;2023-11-05T20:42:19+01:00;Paris
15201;Place Amédée Gordini - Lefebvre;OUI;38;30;7;2;5;OUI;OUI;2023-11-05T20:40:49+01:00;Paris
16124;Route de Sèvres - Porte de Bagatelle;OUI;66;48;17;10;7;OUI;OUI;2023-11-05T20:40:18+01:00;Paris
31010;Stalingrad - Désiré Chevalier;OUI;42;31;11;4;7;OUI;OUI;2023-11-05T20:41:56+01:00;Montreuil
33003;Bordier - Félix Faure;OUI;48;34;14;8;6;OUI;OUI;2023-11-05T20:39:28+01:00;Aubervilliers
11004;Charonne - Faubourg Saint-Antoine;OUI;34;2;30;22;8;OUI;OUI;2023-11-05T20:42:11+01:00;Paris
33009;Félix Faure - Sadi Carnot;OUI;33;18;15;12;3;OUI;OUI;2023-11-05T20:41:28+01:00;Aubervilliers
92008;Hôtel de Ville de Nanterre;OUI;38;16;22;18;4;OUI;OUI;2023-11-05T20:42:22+01:00;Nanterre
25005;18 juin 1940 - Buzenval;OUI;25;21;4;3;1;OUI;OUI;2023-11-05T20:42:59+01:00;Rueil-Malmaison
18012;Stephenson - Doudeauville;OUI;36;25;10;4;6;OUI;OUI;2023-11-05T20:40:48+01:00;Paris
13045;Jean Colly - Tolbiac;OUI;36;22;14;12;2;OUI;OUI;2023-11-05T20:43:45+01:00;Paris
12009;Charenton - Diderot;OUI;18;2;16;14;2;OUI;OUI;2023-11-05T20:43:11+01:00;Paris
19115;Porte de la Villette;OUI;27;17;10;10;0;OUI;OUI;2023-11-05T20:40:42+01:00;Paris
14036;Boulard - Daguerre;OUI;45;42;3;2;1;OUI;OUI;2023-11-05T20:34:33+01:00;Paris
14034;Ouest - Château;OUI;23;22;0;0;0;OUI;OUI;2023-11-05T20:41:01+01:00;Paris
18201;Tristan Tzara -  Tchaïkovski;OUI;33;19;13;10;3;OUI;OUI;2023-11-05T20:41:48+01:00;Paris
32010;Place aux Étoiles;OUI;40;40;0;0;0;OUI;OUI;2023-11-05T20:33:06+01:00;Saint-Denis
9021;Saint Georges - d'Aumale;OUI;23;20;3;1;2;OUI;OUI;2023-11-05T20:39:58+01:00;Paris
16018;Flandrin - Henri Martin;OUI;18;15;3;1;2;OUI;OUI;2023-11-05T20:40:26+01:00;Paris
21313;Guynemer - Séverine;OUI;26;0;26;22;4;OUI;OUI;2023-11-05T20:34:05+01:00;Issy-les-Moulineaux
12034;Pirogues de Bercy - Libourne;OUI;49;34;15;14;1;OUI;OUI;2023-11-05T20:43:39+01:00;Paris
26007;Square Gilbert Thomain;OUI;20;6;14;9;5;OUI;OUI;2023-11-05T20:38:43+01:00;Asnières-sur-Seine
19044;Grands Moulins de Pantin;OUI;50;38;10;4;6;OUI;OUI;2023-11-05T20:38:35+01:00;Paris
16111;Faustin Hélie - Desbordes-Valmore;OUI;33;22;6;4;2;OUI;OUI;2023-11-05T20:38:59+01:00;Paris
12201;Dugommier;OUI;53;33;17;14;3;OUI;OUI;2023-11-05T20:41:53+01:00;Paris
11007;Jean Macé - Faidherbe;OUI;63;9;53;49;4;OUI;OUI;2023-11-05T20:43:33+01:00;Paris
33001;Victor Hugo - Magasins Généraux;OUI;34;30;4;4;0;OUI;OUI;2023-11-05T20:41:11+01:00;Aubervilliers
15025;Dupleix - du Guesclin;OUI;47;15;31;31;0;OUI;OUI;2023-11-05T20:43:46+01:00;Paris
16034;Porte d'Auteuil;OUI;33;23;8;5;3;OUI;OUI;2023-11-05T20:41:24+01:00;Paris
18110;Departement - Pajol;OUI;19;9;10;4;6;OUI;OUI;2023-11-05T20:39:00+01:00;Paris
5114;Claude Bernard - Arbalète;OUI;17;2;15;10;5;OUI;OUI;2023-11-05T20:37:04+01:00;Paris
19005;Flandre - Riquet;OUI;21;19;2;1;1;OUI;OUI;2023-11-05T20:37:07+01:00;Paris
20119;Square des Saint-Simoniens;OUI;25;21;4;1;3;OUI;OUI;2023-11-05T20:42:55+01:00;Paris
10113;Parmentier - Hôpital Saint-Louis;OUI;43;28;13;9;4;OUI;OUI;2023-11-05T20:40:03+01:00;Paris
19019;Petit - Manin;OUI;22;17;5;3;2;OUI;OUI;2023-11-05T20:42:26+01:00;Paris
17011;Fragonard - Porte de Clichy;OUI;56;44;9;5;4;OUI;OUI;2023-11-05T20:43:01+01:00;Paris
20036;Ménilmontant - Pelleport;OUI;19;13;6;0;6;OUI;OUI;2023-11-05T20:43:12+01:00;Paris
17045;Place des Ternes.;OUI;46;44;2;0;2;OUI;OUI;2023-11-05T20:36:29+01:00;Paris
92003;Chanzy - Sud-Est;OUI;25;15;10;8;2;OUI;OUI;2023-11-05T20:43:48+01:00;Nanterre
33018;Edouard Poisson - Victor Hugo;OUI;30;3;27;21;6;OUI;OUI;2023-11-05T20:38:33+01:00;Aubervilliers
21109;Guichet - Jean Jaurès;OUI;28;18;10;8;2;OUI;OUI;2023-11-05T20:39:09+01:00;Clichy
21305;Place Jacques Madaule;OUI;25;12;13;8;5;OUI;OUI;2023-11-05T20:37:43+01:00;Issy-les-Moulineaux
31012;Place Carnot;OUI;25;14;11;6;5;OUI;OUI;2023-11-05T20:43:54+01:00;Montreuil
16121;Jardin d'Acclimatation;OUI;33;15;14;12;2;OUI;OUI;2023-11-05T20:42:56+01:00;Paris
16129;Ceinture du Lac Inferieure - Saint-Cloud;OUI;42;41;1;1;0;OUI;OUI;2023-11-05T20:34:10+01:00;Paris
23001;Paul Vaillant Couturier - Chaptal;OUI;39;32;7;6;1;OUI;OUI;2023-11-05T20:42:49+01:00;Levallois-Perret
41604;Lagny - Joffre;OUI;31;21;10;9;1;OUI;OUI;2023-11-05T20:42:03+01:00;Saint-Mandé
18141;Clignancourt - Sofia;OUI;19;3;16;4;12;OUI;OUI;2023-11-05T20:41:46+01:00;Paris
10005;Petites Ecuries - Faubourg Poissonnière;OUI;17;5;12;11;1;OUI;OUI;2023-11-05T20:43:54+01:00;Paris
7009;Assemblée Nationale;OUI;63;59;3;2;1;OUI;OUI;2023-11-05T20:38:50+01:00;Paris
92004;Nanterre - Université;OUI;20;17;3;0;3;OUI;OUI;2023-11-05T20:40:43+01:00;Nanterre
19004;Quai de la Loire - Jean Jaurès;OUI;16;9;5;2;3;OUI;OUI;2023-11-05T20:43:22+01:00;Paris
18020;Francoeur - Marcadet;OUI;20;9;11;2;9;OUI;OUI;2023-11-05T20:40:05+01:00;Paris
20043;Charonne - Avron;OUI;27;17;9;5;4;OUI;OUI;2023-11-05T20:43:09+01:00;Paris
20136;Henri Chevreau - Couronnes;OUI;27;21;6;3;3;OUI;OUI;2023-11-05T20:38:03+01:00;Paris
14117;Gare Montparnasse - René Mouchotte;OUI;39;32;6;4;2;OUI;OUI;2023-11-05T20:43:56+01:00;Paris
43006;Vignerons - Minimes;OUI;29;20;8;5;3;OUI;OUI;2023-11-05T20:41:59+01:00;Vincennes
22505;Mairie de La Garenne Colombes;OUI;22;11;10;6;4;OUI;OUI;2023-11-05T20:38:22+01:00;La Garenne-Colombes
5002;Sommerard - Saint-Jacques;OUI;34;6;27;25;2;OUI;OUI;2023-11-05T20:40:03+01:00;Paris
11102;Alexandre Dumas - Voltaire;OUI;59;34;23;19;4;OUI;OUI;2023-11-05T20:39:25+01:00;Paris
15028;Grenelle - Dr Finlay;OUI;71;13;53;49;4;OUI;OUI;2023-11-05T20:42:35+01:00;Paris
15033;Place Violet;OUI;30;16;13;8;5;OUI;OUI;2023-11-05T20:43:52+01:00;Paris
14018;Porte d'Orléans;OUI;48;45;3;0;3;OUI;OUI;2023-11-05T20:42:53+01:00;Paris
25008;Place du 8 Mai 1945;OUI;18;16;1;0;1;OUI;OUI;2023-11-05T20:37:38+01:00;Rueil-Malmaison
13104;Gare d'Austerlitz - Quai Saint-Bernard;OUI;27;27;0;0;0;NON;NON;2022-01-18T22:07:57+01:00;Paris
24002;Gare de Courbevoie;OUI;35;20;15;12;3;OUI;OUI;2023-11-05T20:43:38+01:00;Courbevoie
42503;Vladimir Ilitch Lénine - Andrée Chedid;OUI;31;23;8;1;7;OUI;OUI;2023-11-05T20:39:26+01:00;Gentilly
20132;Réunion - Avron;OUI;26;22;4;1;3;OUI;OUI;2023-11-05T20:42:01+01:00;Paris
21111;Professeur René Leriche - Général Leclerc;OUI;50;33;17;10;7;OUI;OUI;2023-11-05T20:43:20+01:00;Clichy
13014;Gare d'Austerlitz;OUI;14;11;3;2;1;OUI;OUI;2023-11-05T20:43:53+01:00;Paris
11114;Ledru-Rollin - Charonne;OUI;32;15;16;10;6;OUI;OUI;2023-11-05T20:41:43+01:00;Paris
42207;Place des Marseillais;OUI;37;27;8;3;5;OUI;OUI;2023-11-05T20:35:41+01:00;Charenton-le-Pont
17017;Gare de Pont-Cardinet;OUI;34;23;7;3;4;OUI;OUI;2023-11-05T20:43:29+01:00;Paris
20120;Evariste Galois;NON;0;0;0;0;0;NON;NON;2023-06-15T16:09:38+02:00;Paris
34002;Capitaine Glarner - Gabriel Péri;OUI;27;11;14;10;4;OUI;OUI;2023-11-05T20:39:39+01:00;Saint-Ouen-sur-Seine
42707;Place Jean-Baptiste Clément;OUI;25;14;11;4;7;OUI;OUI;2023-11-05T20:38:35+01:00;Le Kremlin-Bicêtre
13026;Place Jean Delay;OUI;35;26;9;4;5;OUI;OUI;2023-11-05T20:40:42+01:00;Paris
5119;Jussieu - Guy de la Brosse;OUI;40;20;19;13;6;OUI;OUI;2023-11-05T20:42:29+01:00;Paris
23002;Pont de Levallois-bécon;OUI;50;46;4;1;3;OUI;OUI;2023-11-05T20:39:58+01:00;Levallois-Perret
35009;Jean Lolive - Parc Stalingrad;OUI;22;9;12;5;7;OUI;OUI;2023-11-05T20:41:39+01:00;Pantin
11101;Charles Delescluze;OUI;49;12;35;26;9;OUI;OUI;2023-11-05T20:43:53+01:00;Paris
31705;Champeaux - Gallieni;OUI;50;49;1;0;1;OUI;OUI;2023-11-05T20:39:54+01:00;Bagnolet
15055;Vasco de Gama;OUI;54;29;25;24;1;OUI;OUI;2023-11-05T20:41:29+01:00;Paris
8055;Courcelles - Place des Ternes;OUI;31;30;1;1;0;OUI;OUI;2023-11-05T20:36:31+01:00;Paris
14130;Jonquoy - Didot;OUI;30;19;11;2;9;OUI;OUI;2023-11-05T20:40:59+01:00;Paris
27002;Parc Pierre Lagravère;OUI;30;18;12;11;1;OUI;OUI;2023-11-05T20:38:14+01:00;Colombes
41207;Place du Général de Gaulle;OUI;28;23;4;2;2;OUI;OUI;2023-11-05T20:42:11+01:00;Fontenay-sous-Bois
23701;Parvis Robert Schuman - Roger Salengro;OUI;24;24;0;0;0;OUI;OUI;2023-11-05T20:42:26+01:00;Chaville
16006;Lauriston - Copernic;OUI;19;13;1;0;1;OUI;OUI;2023-11-05T20:38:02+01:00;Paris
17007;Navier - Epinettes;OUI;36;22;14;4;10;OUI;OUI;2023-11-05T20:39:19+01:00;Paris
12011;Charenton - Place du Col Bourgoin;OUI;35;1;34;27;7;OUI;OUI;2023-11-05T20:42:48+01:00;Paris
21502;Verdun - Place Henri IV;OUI;26;7;19;13;6;OUI;OUI;2023-11-05T20:43:21+01:00;Suresnes
21308;Bara - Henri Farman;OUI;36;11;25;19;6;OUI;OUI;2023-11-05T20:42:04+01:00;Issy-les-Moulineaux
14001;Edgar Quinet - Gaité;OUI;27;15;10;3;7;OUI;OUI;2023-11-05T20:42:30+01:00;Paris
21019;Edouard Vaillant - Paul-Adolphe Souriau;OUI;28;21;6;4;2;OUI;OUI;2023-11-05T20:42:01+01:00;Boulogne-Billancourt
12126;Gravelle - Route du Bac;OUI;51;42;7;4;3;OUI;OUI;2023-11-05T20:42:54+01:00;Paris
6018;Michelet - Assas;OUI;18;15;2;0;2;OUI;OUI;2023-11-05T20:42:40+01:00;Paris
12024;Gare de Bercy;OUI;35;35;0;0;0;OUI;OUI;2023-11-05T20:40:56+01:00;Paris
12032;Porte Dorée;OUI;36;23;12;5;7;OUI;OUI;2023-11-05T20:43:12+01:00;Paris
35019;Anatole France - Jean Lolive;OUI;28;20;6;4;2;OUI;OUI;2023-11-05T20:42:52+01:00;Pantin
15038;Place Adolphe Cherioux - Vaugirard;OUI;63;57;4;2;2;OUI;OUI;2023-11-05T20:43:47+01:00;Paris
14104;Boyer-Barret - Raymond Losserand;OUI;23;20;3;2;1;OUI;OUI;2023-11-05T20:39:26+01:00;Paris
21032;Sèvres-Gallieni;OUI;27;8;18;14;4;OUI;OUI;2023-11-05T20:41:00+01:00;Boulogne-Billancourt
20113;Piat - Parc de Belleville;OUI;21;18;2;1;1;OUI;OUI;2023-11-05T18:47:25+01:00;Paris
44012;Génie - Mozart;OUI;19;14;5;0;5;OUI;OUI;2023-11-05T20:37:10+01:00;Vitry-sur-Seine
8012;Batignolles - Place de Clichy;OUI;47;42;5;5;0;OUI;OUI;2023-11-05T20:43:51+01:00;Paris
17027;Place du Maréchal Juin - Péreire;OUI;46;39;4;1;3;OUI;OUI;2023-11-05T20:39:58+01:00;Paris
15017;Place Falguière;OUI;23;15;7;1;6;OUI;OUI;2023-11-05T20:42:00+01:00;Paris
51003;Hôtel de Ville d'Argenteuil;OUI;30;24;6;3;3;OUI;OUI;2023-11-05T20:41:44+01:00;Argenteuil
15029;Emeriau - Place de Brazzaville;OUI;51;2;48;45;3;OUI;OUI;2023-11-05T20:42:20+01:00;Paris
11020;Belfort - Voltaire;OUI;39;28;10;7;3;OUI;OUI;2023-11-05T20:42:51+01:00;Paris
17018;Parc Monceau;OUI;18;7;10;8;2;OUI;OUI;2023-11-05T20:37:18+01:00;Paris
14122;Colonel Monteil - Brune;OUI;19;15;4;1;3;OUI;OUI;2023-11-05T20:38:03+01:00;Paris
5116;Place Valhubert;OUI;37;29;4;2;2;OUI;OUI;2023-11-05T20:43:55+01:00;Paris
16123;Mahatma Gandhi;OUI;26;25;1;1;0;OUI;OUI;2023-11-05T20:40:46+01:00;Paris
18005;Tardieu - Chappe;OUI;18;17;1;0;1;OUI;OUI;2023-11-05T20:34:46+01:00;Paris
21003;Jean Jaurès - Jean Baptiste Clément;OUI;24;0;22;14;8;OUI;OUI;2023-11-05T20:41:19+01:00;Boulogne-Billancourt
5026;Pascal - Claude Bernard;OUI;49;23;24;22;2;OUI;OUI;2023-11-05T20:43:29+01:00;Paris
22001;Château - Bineau;OUI;23;10;13;12;1;OUI;OUI;2023-11-05T20:43:24+01:00;Neuilly-sur-Seine
8102;Lamennais - Washington;OUI;26;23;2;1;1;OUI;OUI;2023-11-05T20:41:41+01:00;Paris
18025;Mairie du 18ème;OUI;40;15;21;5;16;OUI;OUI;2023-11-05T20:40:39+01:00;Paris
31702;Pierre et Marie Curie - Julien Grimau;OUI;18;16;2;1;1;OUI;OUI;2023-11-05T20:43:38+01:00;Bagnolet
17122;Bridaine - Lamandé;OUI;29;25;4;1;3;OUI;OUI;2023-11-05T20:36:19+01:00;Paris
21013;Pierre Grenier - Pont de Billancourt;OUI;21;4;16;15;1;OUI;OUI;2023-11-05T20:42:39+01:00;Boulogne-Billancourt
20021;Indre - Prairies;OUI;38;32;4;0;4;OUI;OUI;2023-11-05T20:42:52+01:00;Paris
7014;Saint-François-Xavier;OUI;42;17;22;18;4;OUI;OUI;2023-11-05T20:42:17+01:00;Paris
31007;Paris - Désiré Préaux;OUI;49;28;19;9;10;OUI;OUI;2023-11-05T20:43:53+01:00;Montreuil
7006;Quai Voltaire;OUI;32;25;6;5;1;OUI;OUI;2023-11-05T20:38:48+01:00;Paris
15108;Lourmel - Marie Skobtsov;OUI;22;9;12;6;6;OUI;OUI;2023-11-05T20:43:29+01:00;Paris
2010;Uzès - Montmartre;OUI;29;26;3;1;2;OUI;OUI;2023-11-05T20:42:22+01:00;Paris
19040;Belleville - Télégraphe;OUI;41;39;2;0;2;OUI;OUI;2023-11-05T20:43:39+01:00;Paris
20040;Parc de Belleville - Julien Lacroix;OUI;26;19;7;3;4;OUI;OUI;2023-11-05T20:42:24+01:00;Paris
26001;Gare d'Asnières sur Seine;OUI;24;5;18;12;6;OUI;OUI;2023-11-05T20:43:40+01:00;Asnières-sur-Seine
10023;Gare de l'Est - Verdun;OUI;14;10;3;1;2;OUI;OUI;2023-11-05T20:40:41+01:00;Paris
17046;Mac-Mahon - Brey;OUI;25;20;5;1;4;OUI;OUI;2023-11-05T20:42:18+01:00;Paris
21105;Morice - Général Leclerc;OUI;25;19;5;2;3;OUI;OUI;2023-11-05T20:40:46+01:00;Clichy
