Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Nom communes équipées
31028;Raspail Barbès;OUI;28;15;13;10;3;OUI;OUI;2023-11-05T20:42:59+01:00;Montreuil
19027;Serrurier;OUI;18;16;2;1;1;OUI;OUI;2023-11-05T20:29:19+01:00;Paris
17048;De Toqueville - Terrasse;OUI;30;28;2;2;0;OUI;OUI;2023-11-05T20:39:07+01:00;Paris
44017;Jules Guesde - Pont du Port à l'Anglais;OUI;30;9;21;15;6;OUI;OUI;2023-11-05T20:41:44+01:00;Vitry-sur-Seine
47007;Liberté - Vert-de-Maisons;OUI;20;20;0;0;0;NON;NON;2023-09-16T05:55:03+02:00;Maisons-Alfort
9008;Tour d'Auvergne - Rodier;OUI;17;13;3;1;2;OUI;OUI;2023-11-05T20:36:42+01:00;Paris
16118;Michel-Ange - Parent de Rosan;OUI;26;22;2;1;1;OUI;OUI;2023-11-05T20:43:45+01:00;Paris
9014;Faubourg Montmartre - La Fayette;OUI;35;23;10;6;4;OUI;OUI;2023-11-05T20:42:27+01:00;Paris
2017;Caire - Dussoubs;OUI;40;35;5;3;2;OUI;OUI;2023-11-05T20:37:46+01:00;Paris
8053;Place Georges Guillaumin;OUI;29;24;4;1;3;OUI;OUI;2023-11-05T20:41:22+01:00;Paris
8103;Artois - Berri;OUI;23;18;4;1;3;OUI;OUI;2023-11-05T20:40:18+01:00;Paris
9001;Bellefond - Poissonnière;OUI;17;11;6;3;3;OUI;OUI;2023-11-05T20:40:01+01:00;Paris
8048;Marceau - Chaillot;OUI;21;18;3;2;1;OUI;OUI;2023-11-05T20:34:59+01:00;Paris
8016;Square Louis XVI;OUI;29;18;9;9;0;OUI;OUI;2023-11-05T20:42:19+01:00;Paris
14013;Liard - Amiral Mouchez;OUI;14;10;4;3;1;OUI;OUI;2023-11-05T20:43:52+01:00;Paris
10115;Granges aux Belles;OUI;27;18;7;4;3;OUI;OUI;2023-11-05T20:43:54+01:00;Paris
13118;Regnault - Patay;OUI;63;6;53;48;5;OUI;OUI;2023-11-05T20:43:36+01:00;Paris
10161;Gare de l'Est - Faubourg-Saint-Martin;OUI;32;29;3;1;2;OUI;OUI;2023-11-05T20:43:56+01:00;Paris
